time,value
2024-09-27T12:30:56.599184482Z,23
2024-09-27T12:31:07.878066826Z,22.875
2024-09-27T12:31:19.154564117Z,22.9375
2024-09-27T12:31:30.418161322Z,22.875
2024-09-27T12:31:41.66565834Z,22.875
2024-09-27T12:31:53.094040123Z,22.75
2024-09-27T12:32:04.18899931Z,22.75
2024-09-27T12:32:15.432038904Z,22.6875
2024-09-27T12:32:26.715713334Z,22.6875
2024-09-27T12:32:37.951872216Z,22.625
2024-09-27T12:32:49.213246646Z,22.5625
2024-09-27T12:33:02.611849797Z,22.5625
2024-09-27T12:33:11.732135687Z,22.5625
2024-09-27T12:33:21.772449589Z,22.5
2024-09-27T12:33:31.77192153Z,22.5625
2024-09-27T12:33:41.815508657Z,22.5
2024-09-27T12:33:53.59698934Z,22.5
2024-09-27T12:34:02.335052039Z,22.5
2024-09-27T12:34:12.738179482Z,22.5
2024-09-27T12:34:24.086290643Z,22.375
2024-09-27T12:34:34.110747765Z,22.4375
2024-09-27T12:43:19.940838821Z,0
2024-09-27T12:43:30.772869018Z,0
2024-09-27T12:43:42.998229431Z,25.5
2024-09-27T12:43:53.176320669Z,25.8125
2024-09-27T12:44:05.078435953Z,25.9375
2024-09-27T12:44:13.407054769Z,26.3125
2024-09-27T12:44:23.414982727Z,26.4375
2024-09-27T12:44:38.273614005Z,27.25
2024-09-27T12:44:48.289050109Z,27.5625
2024-09-27T12:52:55.048460526Z,0
2024-09-27T12:53:06.776490283Z,0
2024-09-27T12:53:15.110896073Z,0
2024-09-27T12:53:25.059298569Z,0
2024-09-27T12:53:35.075527277Z,0
2024-09-27T12:53:45.059129099Z,0
2024-09-27T12:53:55.172549778Z,0
2024-09-27T12:54:06.22534845Z,22.9375
2024-09-27T12:54:17.481227642Z,22.875
2024-09-27T12:54:28.733258446Z,22.8125
2024-09-27T12:54:39.992383444Z,22.8125
2024-09-27T12:54:51.242170326Z,22.8125
2024-09-27T12:55:02.521875494Z,22.8125
2024-09-27T12:55:13.752359255Z,22.75
2024-09-27T12:55:25.029430676Z,22.75
2024-09-27T12:55:36.289582316Z,22.75
2024-09-27T12:55:47.520776586Z,22.75
2024-09-27T12:55:58.913980801Z,22.6875
2024-09-27T12:56:10.03544356Z,22.75
2024-09-27T12:56:21.302142339Z,22.6875
2024-09-27T12:56:38.285069639Z,22.6875
2024-09-27T12:56:43.814115346Z,22.6875
2024-09-27T12:56:55.081362526Z,22.6875
2024-09-27T12:57:06.489095344Z,22.6875
2024-09-27T12:57:17.600897778Z,22.625
2024-09-27T12:57:28.873017265Z,22.625
2024-09-27T12:57:40.098778219Z,22.6875
2024-09-27T12:57:51.362429464Z,22.625
2024-09-27T12:58:02.612837195Z,22.625
2024-09-27T12:58:13.879379573Z,22.625
2024-09-27T12:58:25.13781726Z,22.625
2024-09-27T12:58:36.548030507Z,22.625
2024-09-27T12:58:47.627302311Z,22.5625
2024-09-27T12:58:58.88787597Z,22.625
2024-09-27T12:59:10.140261515Z,22.625
